
**************************************************************************************S T A R T *****************************************************************************************
                          name |            pid |        AS (KB) | Total mem (KB) |     Stack (KB) |      Code (KB) |      Data (KB) |      Heap (KB) | Shared Lib(bytes) |Mapped Mem (KB) |
                          name |            pid |        AS (KB) | Total mem (KB) |     Stack (KB) |      Code (KB) |      Data (KB) |      Heap (KB) | Shared Lib(bytes) |Mapped Mem (KB) |
             procnto-smp-instr |              1 |       0(bytes) |            950 |       0(bytes) |            696 |            253 |       0(bytes) |                 0 |              0 |
                secpolgenerate |           8194 |           4336 |           5908 |             84 |           1196 |            212 |           3904 |                 0 |            512 |
                      slogger2 |          12291 |            880 |           1866 |             12 |           1132 |            272 |            440 |                 0 |             10 |
              bmetrics_service |          16388 |            240 |           1296 |             12 |           1024 |            184 |             76 |                 0 |              0 |
                   devc-quipv3 |          20485 |            516 |           1656 |             28 |           1164 |            192 |            272 |                 0 |              0 |
                      devc-pty |          24582 |            656 |           1752 |             12 |           1060 |            188 |            492 |                 0 |              0 |
                            sh |        1880071 |            288 |           1600 |             12 |           1272 |            208 |            108 |                 0 |              0 |
                qcpe_qhee-8540 |          61448 |           1140 |           3688 |            184 |           2276 |            844 |            384 |                 0 |              0 |
                      watchdog |          65545 |            528 |           1556 |             28 |           1228 |            216 |             84 |                 0 |              0 |
                    memorydump |          65546 |          35104 |           3968 |            304 |           2396 |            944 |            324 |                 0 |              0 |
              syscache_service |          65547 |            740 |           2456 |             12 |           1572 |            528 |            344 |                 0 |              0 |
                   pil_service |          65548 |           1076 |           2944 |            112 |           2124 |            608 |            100 |                 0 |              0 |
                  smmu_service |          65549 |           3388 |           5552 |            808 |           1936 |            616 |           2192 |                 0 |              0 |
                       logMain |        1527822 |          19924 |          21046 |             88 |           8580 |            556 |           6936 |                 0 |           4886 |
                        qcgpio |          65551 |           1524 |           3268 |             24 |           1600 |            544 |           1100 |                 0 |              0 |
                         qcore |          65552 |           1444 |           4144 |            120 |           2436 |            760 |            828 |                 0 |              0 |
                   spi_service |          65553 |           1188 |           2964 |             48 |           1752 |            552 |            612 |                 0 |              0 |
                   i2c_service |          65554 |           1040 |           2816 |             88 |           1692 |            544 |            492 |                 0 |              0 |
                           slm |          65555 |            608 |           1972 |             28 |           1616 |            236 |             92 |                 0 |              0 |
                 glink_service |          65556 |           1120 |           2952 |            152 |           1856 |            564 |            380 |                 0 |              0 |
                  diag_service |          65557 |          33860 |          36856 |            192 |           2964 |          32672 |           1028 |                 0 |              0 |
                          pipe |          65558 |            672 |           1688 |             60 |           1040 |            192 |            396 |                 0 |              0 |
                  qcpe_service |          65559 |            532 |           1840 |            104 |           1284 |            304 |            148 |                 0 |              0 |
                  io-pkt-v6-hc |         110616 |          14768 |          18412 |           4236 |           4656 |            696 |           8824 |                 0 |              0 |
                         login |          69657 |            444 |           1480 |             72 |           1120 |            204 |             84 |                 0 |              0 |
                        inc_tp |         110618 |          29228 |          26124 |             44 |           1128 |            252 |            120 |                 0 |          24580 |
                       fastrpc |          90139 |           1348 |           3176 |            112 |           1852 |            560 |            652 |                 0 |              0 |
                   name_server |         110620 |           1828 |           4932 |             16 |           3344 |            320 |           1252 |                 0 |              0 |
                            mq |         110621 |            304 |           1312 |             12 |           1032 |            192 |             76 |                 0 |              0 |
                     ntfcenter |         110622 |           5796 |           8672 |             16 |           3120 |            316 |           5220 |                 0 |              0 |
                 audio_service |         110623 |           5776 |           8204 |            152 |           3120 |           1612 |           3320 |                 0 |              0 |
                gsl_hab_server |        1953824 |           1464 |           2692 |             24 |           1704 |            272 |            692 |                 0 |              0 |
                           hab |         110625 |          50748 |          38276 |            524 |           1304 |            252 |          20716 |                 0 |          15480 |
             bridgechip_server |         110626 |            528 |           2384 |             48 |           1712 |            528 |             96 |                 0 |              0 |
                openwfd_server |         110627 |           4312 |           8976 |            172 |           5056 |           3260 |            488 |                 0 |              0 |
                openwfd_server |         110628 |           4200 |           8964 |            164 |           5044 |           3244 |            512 |                 0 |              0 |
                gsl_hab_server |        1957925 |           1464 |           2692 |             24 |           1704 |            272 |            692 |                 0 |              0 |
                        screen |         110630 |           7836 |          39972 |            228 |          33616 |           1980 |           4148 |                 0 |              0 |
                    inc_server |         110631 |           3448 |          10157 |             76 |           7224 |            444 |           2412 |                 0 |              1 |
                    inc_server |         110632 |           1624 |           8333 |             76 |           7224 |            444 |            588 |                 0 |              1 |
                      devb-ram |         110633 |           2680 |           4096 |            120 |           1784 |            248 |           1364 |                 0 |            580 |
                   psis_server |         114730 |           1548 |           8679 |             36 |           7144 |           1196 |            292 |                 0 |             11 |
               vehicle_service |         114731 |           7732 |          14893 |            300 |           7452 |            600 |           6540 |                 0 |              1 |
                          kgsl |         114732 |           8976 |           9332 |            164 |           2264 |           6904 |       0(bytes) |                 0 |              0 |
                gsl_hab_server |         114733 |           1392 |           2620 |             16 |           1704 |            272 |            628 |                 0 |              0 |
                gsl_hab_server |        1962030 |           1464 |           2692 |             24 |           1704 |            272 |            692 |                 0 |              0 |
                    ais_server |         114735 |          15324 |          37160 |            776 |          22824 |           2868 |          10692 |                 0 |              0 |
                     videoCore |         114736 |           5680 |           7794 |             80 |           3716 |            780 |           2960 |                 0 |            258 |
                  hyp_video_be |         114737 |           1588 |           3094 |             20 |           2304 |            300 |            212 |                 0 |            258 |
             devb-ufs-qualcomm |         114739 |          10236 |          15236 |            180 |           6108 |            612 |           8336 |                 0 |              0 |
                gsl_hab_server |        1851444 |           1464 |           2692 |             24 |           1704 |            272 |            692 |                 0 |              0 |
               qseecom_service |         139317 |            656 |           1712 |             96 |           1248 |            220 |            148 |                 0 |              0 |
                qseecom_daemon |         188470 |           1100 |           2436 |            124 |           1828 |            340 |            144 |                 0 |              0 |
                         km_be |         270391 |           1172 |           2184 |             68 |           1264 |            224 |            628 |                 0 |              0 |
                   qvb_service |         319544 |            800 |           4448 |             28 |           3896 |            428 |             96 |                 0 |              0 |
                        random |         356409 |           1176 |           4756 |             28 |           3968 |            468 |            292 |                 0 |              0 |
                           slm |         532538 |            704 |           2068 |             28 |           1616 |            236 |            188 |                 0 |              0 |
             smcinvoke_service |         831547 |           3644 |           4604 |             36 |           1184 |            216 |           3168 |                 0 |              0 |
                            sh |         532540 |            736 |           2048 |             12 |           1272 |            208 |            556 |                 0 |              0 |
                       rb-exmd |         536637 |           3532 |          11880 |             96 |          10608 |            540 |            636 |                 0 |              0 |
                   vmm_service |         778302 |            948 |           1808 |             60 |           1204 |            216 |             84 |                 0 |            244 |
                           ham |         573503 |            496 |           1446 |             12 |           1100 |            184 |             76 |                 0 |             74 |
                   gvm_cleaner |         778304 |            428 |           1368 |             16 |           1068 |            200 |             84 |                 0 |              0 |
                  emac_ctrl_be |         553025 |            740 |           1520 |             32 |           1164 |            232 |             92 |                 0 |              0 |
                           ham |         561218 |            568 |           1518 |             52 |           1100 |            184 |            108 |                 0 |             74 |
                      dispctrl |         565315 |           6824 |          13495 |             80 |          10124 |           1320 |           1960 |                 0 |             11 |
                        fde_be |         663620 |            936 |           1820 |             52 |           1320 |            368 |             80 |                 0 |              0 |
                  cdsp_service |         544837 |           1324 |           2984 |             72 |           1964 |            584 |            364 |                 0 |              0 |
                     vm_ssr_be |         782406 |            424 |           1372 |             28 |           1060 |            200 |             84 |                 0 |              0 |
              qwes_diag_daemon |         856135 |           1224 |           3056 |             28 |           2488 |            332 |            208 |                 0 |              0 |
                softsku_daemon |         880712 |           1236 |           3028 |             28 |           2496 |            328 |            176 |                 0 |              0 |
               susd_controller |         565321 |          15516 |          24523 |            272 |          15780 |           1516 |           6940 |                 0 |             15 |
                        wfd_be |         950346 |            948 |           1900 |            100 |           1388 |            308 |            104 |                 0 |              0 |
         diag_lsm_serversocket |         593995 |            508 |           1656 |             12 |           1316 |            244 |             84 |                 0 |              0 |
           life_cycle_man_demo |         573516 |            428 |           1464 |             20 |           1156 |            204 |             84 |                 0 |              0 |
                        mtouch |         610381 |            956 |           2000 |             28 |           1576 |            288 |            108 |                 0 |              0 |
                        wfd_be |         950350 |            924 |           1876 |             80 |           1388 |            308 |            100 |                 0 |              0 |
                     installer |         929871 |           5516 |          16967 |             76 |          14772 |           1612 |            496 |                 0 |             11 |
                      networkM |         884816 |           4056 |          10362 |             72 |           8224 |           1220 |            716 |                 0 |            130 |
                        wfd_be |         958545 |            924 |           1876 |             80 |           1388 |            308 |            100 |                 0 |              0 |
                        wfd_be |         950354 |            924 |           1876 |             80 |           1388 |            308 |            100 |                 0 |              0 |
                  dcvs_service |        1052755 |            600 |           2320 |             32 |           1636 |            536 |            116 |                 0 |              0 |
                         inetd |        1101908 |            328 |           1592 |             12 |           1280 |            224 |             76 |                 0 |              0 |
                variant_server |         987221 |           3720 |          10003 |             44 |           7704 |           1364 |            880 |                 0 |             11 |
                   host_server |         999510 |           1040 |           3892 |             16 |           3232 |            320 |            324 |                 0 |              0 |
                  prng_service |        1175639 |            996 |           3336 |             20 |           2320 |            896 |            100 |                 0 |              0 |
                 sleep_service |        1052760 |            480 |           1468 |             20 |           1112 |            216 |             76 |                 0 |             44 |
               ara_diag_daemon |        1015897 |           8936 |          10852 |            148 |           8780 |            352 |           1572 |                 0 |              0 |
                       syslogd |        1056858 |            376 |           1576 |             32 |           1252 |            216 |             76 |                 0 |              0 |
   AudioSystemControllerDeamon |        1347675 |          18140 |          26559 |            152 |          20488 |           1940 |           3968 |                 0 |             11 |
                      AcPlayer |        1400924 |           9160 |          18396 |             84 |          15120 |           1524 |           1668 |                 0 |              0 |
                         qconn |        1138781 |            596 |           1764 |             16 |           1392 |            272 |             84 |                 0 |              0 |
                           pps |        1257566 |            852 |           1840 |             24 |           1120 |            200 |            496 |                 0 |              0 |
                    inc_server |        1192031 |           1628 |           8337 |             80 |           7224 |            444 |            588 |                 0 |              1 |
                        dumper |        1519712 |            368 |           1488 |             12 |           1140 |            260 |             76 |                 0 |              0 |
                      diag_app |        1241185 |          13348 |          24819 |            204 |          21704 |           1756 |           1144 |                 0 |             11 |
                       rpcbind |        1204322 |            832 |           2088 |             12 |           1384 |            224 |            468 |                 0 |              0 |
                    inc_server |        1204323 |          10368 |          17077 |             84 |           7224 |            444 |           9324 |                 0 |              1 |
                   diag_server |        1392740 |          16312 |          25651 |             56 |          12500 |           1532 |          11552 |                 0 |             11 |
                    io_service |        1208421 |           7456 |           9268 |           4036 |           2240 |           2700 |            292 |                 0 |              0 |
                           esm |        1310822 |           4972 |          11274 |             40 |           8132 |           1228 |           1744 |                 0 |            130 |
                    inc_server |        1208423 |           8764 |          15473 |             80 |           7224 |            444 |           7724 |                 0 |              1 |
                      io-audio |        1409128 |           1768 |           2716 |            136 |           2120 |            264 |            196 |                 0 |              0 |
